Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,NLD,GDP (current US$),4.3158685236968555E11,4.7386198007098126E11,5.800703607019596E11,6.583800815451754E11,6.85348181515953E11,7.339552698988225E11,8.485588875411792E11,9.518699978640623E11,8.715186380492181E11,8.473808590166683E11,9.052706263326866E11,8.389233199195315E11,8.771728245345123E11,8.921679867137224E11,7.655727706343746E11,7.840604302400797E11,8.338696416870603E11,9.140434381796072E11,9.10194347568626E11,9.097934666614811E11,1.0296783383294408E12,1.0093987190330779E12,1.1181247498862942E12
Spain,ESP,GDP (current US$),6.278300294122054E11,7.087566770886287E11,9.074915231741157E11,1.0690556752737479E12,1.1537158227175093E12,1.260398977831763E12,1.4740025798200046E12,1.6318634935523433E12,1.4914729237066396E12,1.4221081997833362E12,1.4807104957101196E12,1.3247507387250002E12,1.3555795359125527E12,1.3718205378886226E12,1.1961569712796868E12,1.2335549670116763E12,1.3132453301976494E12,1.421702715218038E12,1.3943200551294094E12,1.27812886787549E12,1.445651653604628E12,1.4178004662626514E12,1.580694712515714E12
Sweden,SWE,GDP (current US$),2.42395852494409E11,2.668490618356595E11,3.343372123220756E11,3.8511804487746466E11,3.9221808887877856E11,4.230934374237619E11,4.9125258921702075E11,5.1770614920119556E11,4.365370142935535E11,4.9581255884331036E11,5.740941129727327E11,5.524837272828025E11,5.868418217968911E11,5.819640172370946E11,5.051037813497569E11,5.1565467146954694E11,5.410187497690971E11,5.554553714870894E11,5.3387952918845374E11,5.4705417423587585E11,6.397149560694681E11,5.904095949491022E11,5.932677010334082E11
Switzerland,CHE,GDP (current US$),2.8658267243422614E11,3.093014224303862E11,3.620750865077597E11,4.0391289103337354E11,4.1828486588499835E11,4.416346721965226E11,4.9074071559480176E11,5.67267767519158E11,5.542129160922709E11,5.988510289065803E11,7.158881266823959E11,6.864202215579899E11,7.062349373709675E11,7.265378083380005E11,6.941181863796278E11,6.878954609027133E11,6.952008330864989E11,7.255687174680009E11,7.213691127267239E11,7.419994060056272E11,8.134087872224987E11,8.184265502064498E11,8.849404022304088E11
United Kingdom,GBR,GDP (current US$),1.6498272635670073E12,1.7857299160671462E12,2.054422857142857E12,2.421525082387404E12,2.54318E12,2.7084415823367065E12,3.0905102040816323E12,2.9294117647058823E12,2.4128400062315E12,2.4854825961847095E12,2.6638058348280723E12,2.707089726614636E12,2.784853502534292E12,3.0647082479214277E12,2.9279111409167314E12,2.689106566899611E12,2.680148052335299E12,2.8713403475817856E12,2.851407164907808E12,2.6978065922938604E12,3.1415061566187026E12,3.0888397634450234E12,3.3400323806680356E12
United States,USA,GDP (current US$),1.0581929E13,1.0929108E13,1.145645E13,1.2217196E13,1.3039197E13,1.3815583E13,1.4474228E13,1.4769862E13,1.4478067E13,1.5048971E13,1.5599732E13,1.625397E13,1.6880683E13,1.7608138E13,1.8295019E13,1.8804913E13,1.9612102E13,2.0656516E13,2.1521395E13,2.132295E13,2.3594031E13,2.5744108E13,2.7360935E13
