Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,NLD,GDP per capita (current US$),26896.548111119628,29343.244996060188,35750.97466302689,40436.61823104069,41994.71353052322,44900.9381441374,51799.20855210469,57879.94375539163,52722.2130568997,50999.74511688789,54230.31290298519,50070.14160459042,52198.89756074542,52900.537415323044,45193.40321879707,46039.10592840976,48675.22233502126,53044.53243522532,52476.273253332714,52162.570115040624,58727.870547147475,57025.01245598001,62536.73202981507
Spain,ESP,GDP per capita (current US$),15369.001159944371,17106.68657665803,21510.83624540113,24907.00085058565,26429.150944931913,28389.078579987294,32591.350306587105,35510.72223127011,32169.502854858267,30532.480508165587,31677.90030836517,28322.946592327575,29077.182055756333,29513.651180040484,25754.361029439977,26537.159489454178,28185.321367196935,30379.721112642244,29581.518551329867,26984.296277027945,30488.82095287971,29674.54428644133,32676.983710937657
Sweden,SWE,GDP per capita (current US$),27247.857734792986,29899.19524950812,37321.7979047059,42821.67314233583,43437.06311647756,46593.6021646111,53700.005336306276,56152.552340314,46946.96027199543,52869.044289158664,60755.75955084647,58037.82131921726,61126.943196397886,60020.3604576572,51545.48360953215,51965.15715319852,53791.50872984028,54589.06038606061,51939.42974452912,52837.9039778149,61417.680876646875,56299.50573280637,56305.25020076702
Switzerland,CHE,GDP per capita (current US$),39638.79110618639,42458.73846791871,49335.7456291067,54659.45714882332,56242.89336456386,59011.03245920162,64989.15532560305,74175.19278985547,71568.31238856722,76531.37294076907,90476.7589651577,85836.2076767359,87304.33058135571,88724.99094026383,83806.44760038373,82153.07454478886,82254.37692697672,85217.36915122741,84121.93103044144,85897.7843338323,93446.4344518943,93259.90571830244,99994.93802047863
United Kingdom,GBR,GDP per capita (current US$),27906.569502964052,30077.741432187977,34442.68754023079,40366.888665096805,42104.78843750239,44512.459029686455,50397.6854954706,47396.120207848355,38744.13169304295,39598.95711954499,42109.64187957491,42497.34049743217,43426.29814051428,47439.616589512465,44964.391143729204,40985.23513824167,40572.121482378294,43203.8141057739,42662.535374031075,40217.00901169857,46869.75905841103,45564.15694480128,48866.60396002978
United States,USA,GDP per capita (current US$),37133.620397351704,37997.7424300242,39490.30239031761,41724.64119826138,44123.39964700257,46301.98764855189,48050.22741219505,48570.05942696015,47194.95008938721,48650.664322723205,50065.97894706748,51784.41146920484,53409.75077743717,55304.31553171368,57040.20821366048,58206.61419318442,60322.261424174736,63201.04584837711,65548.07078475719,64317.39891250404,71055.87619383029,77246.6738828672,81695.18707133047
