Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,NLD,Energy use (kg of oil equivalent per capita),4839.465530113709,4873.261626204438,5020.381931874057,5085.885700819303,4989.4679295200185,4925.112416716377,4908.89826059524,4848.013689746548,4722.106038890315,5025.320916253928,4636.701904035171,4646.2552406863115,4600.182975538834,4325.523711580807,4233.0438574012405,,,,,,,,
Spain,ESP,Energy use (kg of oil equivalent per capita),3060.8818094662056,3107.8673411219534,3157.227264048515,3238.502447294091,3251.3971326929286,3194.081246212187,3180.0334195631735,3026.3384081500794,2757.69141158545,2742.8771822219073,2689.684337213148,2683.367934807765,2512.1059192456805,2464.6412905848047,2571.3409621117803,,,,,,,,
Sweden,SWE,Energy use (kg of oil equivalent per capita),5680.2804868726935,5802.110105168002,5650.438049752915,5847.344163265797,5711.127282666333,5529.0779532636125,5472.135391729772,5379.959102511302,4883.200489540533,5427.925046005993,5274.643613177098,5269.485997713716,5146.533589975979,4966.43592120964,5102.785578312321,,,,,,,,
Switzerland,CHE,Energy use (kg of oil equivalent per capita),3673.2925727130864,3553.740257219428,3542.065602661725,3530.5783446385985,3488.2183481094485,3619.151638696974,3410.8198826743114,3499.7909822266242,3481.85284518735,3347.618355689504,3205.328270898405,3202.8343371230285,3304.115437762212,3059.9367490290524,2960.0733893911856,,,,,,,,
United Kingdom,GBR,Energy use (kg of oil equivalent per capita),3784.9281744166615,3685.869487426571,3731.6097181952587,3694.478595310171,3686.3599048005763,3598.81040619707,3441.640219180368,3361.980516930163,3145.585662082845,3230.615983576554,2972.153064529668,3042.859871038112,2987.700588787102,2777.3109866772847,2764.516671338058,,,,,,,,
United States,USA,Energy use (kg of oil equivalent per capita),7827.886325371829,7843.344849141917,7794.235530263834,7881.578642064052,7846.499688499731,7697.652535000412,7758.1659857705245,7488.081920704734,7056.783652827184,7161.426551565182,7029.954601476449,6872.027283674618,6905.598633160563,6960.683996579513,6803.996607284987,,,,,,,,
