Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,DZA,Energy use (kg of oil equivalent per capita),866.9471172144084,914.9150398157187,959.2505063735102,957.5983047282474,983.6821598285509,1038.2746205482385,1083.9941599278973,1078.2043363427604,1158.1823544508716,1117.9804890314529,1144.3228503773073,1233.6169477632423,1252.0747947678547,1333.136068966471,,,,,,,,,
France,FRA,Energy use (kg of oil equivalent per capita),4245.315948594716,4224.718315903878,4270.120470045362,4300.954539637587,4286.543802861269,4188.389998588835,4115.173038807117,4110.284801593347,3913.225471717051,4016.6584410486917,3846.928313806762,3836.514547782713,3833.3249321095514,3659.0877946844876,3692.017833310533,,,,,,,,
Italy,ITA,Energy use (kg of oil equivalent per capita),3020.6211945427835,3037.2669647055022,3168.5290211402075,3169.932641623059,3214.674120611458,3175.7998708688306,3149.57655346296,3087.566331027301,2869.9207120558435,2930.588524125469,2828.404891396012,2709.2977281030744,2579.4725426266264,2414.4840015831774,2481.754645460174,,,,,,,,
Morocco,MAR,Energy use (kg of oil equivalent per capita),403.7607271071369,405.18917308097315,398.51897777809245,466.9412190706095,487.7826893632873,489.58687863940156,498.4893204489036,511.016977655629,508.1496271386617,526.1278616128543,559.3454401585669,559.6191959809271,554.4930267187799,554.2260220073795,,,,,,,,,
Portugal,PRT,Energy use (kg of oil equivalent per capita),2391.228192747041,2477.489749876939,2400.7659180704977,2462.9850586534867,2519.004925104705,2390.3246138102286,2402.426395461466,2337.271386907039,2304.0266753795595,2222.6296923324285,2163.9821132913285,2039.0118959444383,2057.861330296219,2034.5126295757107,2131.681887640137,,,,,,,,
Spain,ESP,Energy use (kg of oil equivalent per capita),3060.8818094662056,3107.8673411219534,3157.227264048515,3238.502447294091,3251.3971326929286,3194.081246212187,3180.0334195631735,3026.3384081500794,2757.69141158545,2742.8771822219073,2689.684337213148,2683.367934807765,2512.1059192456805,2464.6412905848047,2571.3409621117803,,,,,,,,
