Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,DZA,GDP per capita (current US$),1904.2155535678232,1945.1919286803193,2292.3175814849506,2827.227164592993,3248.0998143231923,3681.2909881779774,4192.663169155412,5217.991821573554,4270.858451460292,4958.259379136102,5974.570086826111,6096.090015492628,6044.674903307029,6164.644698975247,4741.499770335584,4481.081961530665,4615.868743648854,4640.314145379558,4530.101744836313,3794.4095244863906,4216.251285130302,5023.252931649279,5260.206249807974
France,FRA,GDP per capita (current US$),22449.339693117465,24288.270019350828,29627.924263529992,33797.16244184357,34768.175903752526,36470.212839931344,41557.62356481789,45515.96175334728,41737.76355181374,40676.06479131811,43846.46607647981,40870.85236457343,42602.71796526674,43068.548724173925,36652.92230521776,37062.53357238286,38781.04948708362,41557.8548588876,40494.898293627644,39179.74425960567,43671.30840996309,40886.253268027256,44460.81784570086
Italy,ITA,GDP per capita (current US$),20500.954399567163,22376.297898932877,27526.322460995707,31317.20079432963,32055.092075750315,33529.72660143614,37870.74750709694,40944.91241946783,37226.75719354016,36035.64499506905,38649.63948367892,35051.52126977026,35560.08140622885,35565.721377149624,30242.38613521843,30960.73150889022,32406.72031501343,34622.16966647412,33673.75096274205,31922.919162618266,36441.059804873425,35068.835973844856,38373.16604975343
Morocco,MAR,GDP per capita (current US$),1500.36340332031,1590.4873046875,1936.09020996094,2177.798828125,2237.576171875,2433.21264648438,2751.42358398438,3180.17065429688,3118.1416015625,3067.85180664063,3302.453125,3164.00463867188,3377.6435546875,3430.53442382813,3139.22827148438,3132.9521484375,3288.50268554688,3492.67260742188,3498.58276367188,3258.26904296875,3767.52490234375,3441.99145507813,3672.1123046875
Portugal,PRT,GDP per capita (current US$),11734.764974395395,12936.692820448196,15797.782134027593,18064.15809329872,18780.127512409996,19839.45404990321,22811.056484436518,24949.041356673933,23151.21541307117,22520.642312404478,23217.295496520746,20563.713601262887,21653.19597522246,22103.700970332095,19250.106537685195,19991.972487880517,21490.429863103967,23562.554522819133,23330.817288932005,22242.406417971975,24661.166487457573,24515.265749571594,27275.11155446915
Spain,ESP,GDP per capita (current US$),15369.001159944371,17106.68657665803,21510.83624540113,24907.00085058565,26429.150944931913,28389.078579987294,32591.350306587105,35510.72223127011,32169.502854858267,30532.480508165587,31677.90030836517,28322.946592327575,29077.182055756333,29513.651180040484,25754.361029439977,26537.159489454178,28185.321367196935,30379.721112642244,29581.518551329867,26984.296277027945,30488.82095287971,29674.54428644133,32676.983710937657
