Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,DZA,GDP (current US$),5.941340092363635E10,6.151610340616878E10,7.348226419092455E10,9.191368098517082E10,1.07046618669707E11,1.2308425869300974E11,1.4248273980984927E11,1.8038384833113458E11,1.5031729207935913E11,1.7778505393953052E11,2.1833194692530356E11,2.2714374607593402E11,2.297014302921566E11,2.3894266419259E11,1.8749385560934464E11,1.8076383952215082E11,1.898808969030733E11,1.9455448365552774E11,1.9345966209067682E11,1.6487341532520148E11,1.8626541857069662E11,2.255602566217572E11,2.3989949112774237E11
France,FRA,GDP (current US$),1.3776573392913403E12,1.5014093829713752E12,1.844544792036859E12,2.1196331816343684E12,2.1969452324357966E12,2.3205362213047026E12,2.6605912462117734E12,2.9303037808281245E12,2.7008873669320293E12,2.645187882116672E12,2.865157541994169E12,2.683671716967188E12,2.8118769033290273E12,2.855964488590186E12,2.4391886431624985E12,2.4729643445871655E12,2.5951510451976514E12,2.7909568787466646E12,2.728870246705878E12,2.6474186915984507E12,2.959355819170495E12,2.779092236505847E12,3.0309040896078965E12
Italy,ITA,GDP (current US$),1.1680234260563794E12,1.2767693384492964E12,1.5776217070505066E12,1.8065429685455645E12,1.8582171472037346E12,1.9495517193896443E12,2.213102482751458E12,2.4086553487185933E12,2.1999288041186313E12,2.136099955236671E12,2.2949942965894985E12,2.086957656821602E12,2.1419240942985552E12,2.1620096159965415E12,1.836637711060546E12,1.8770716876337788E12,1.9617961973543564E12,2.091932426266979E12,2.0113021988274478E12,1.8974616355919119E12,2.1548754937449265E12,2.0669720965537046E12,2.2548512127318047E12
Morocco,MAR,GDP (current US$),4.383148020764445E10,4.707719218764177E10,5.802936335427568E10,6.611414545100669E10,6.885265806866728E10,7.588382330085452E10,8.694791328672797E10,1.0182290694906343E11,1.011549522408807E11,1.0086532947343983E11,1.1008063133237535E11,1.0693739231112907E11,1.157392873050801E11,1.1913084141166359E11,1.1041382384159187E11,1.1157294700491748E11,1.1854057336784428E11,1.2734114758181831E11,1.289202664094575E11,1.2135364505714369E11,1.4181779708346814E11,1.309125588298398E11,1.4110937320941437E11
Portugal,PRT,GDP (current US$),1.216041071649966E11,1.3479556554941945E11,1.652261755367926E11,1.8938212253216882E11,1.972538767049213E11,2.0875644927584793E11,2.4049614731738077E11,2.6341639462408353E11,2.4466776283554318E11,2.3811300323328378E11,2.4511799024224756E11,2.1622424057795746E11,2.2643385800571396E11,2.2990196422188428E11,1.9939406652544012E11,2.0642615230893085E11,2.2135787471892978E11,2.423131165779669E11,2.3998692263890158E11,2.2903186052077728E11,2.55534839405899E11,2.5519665993437842E11,2.870800135744972E11
Spain,ESP,GDP (current US$),6.278300294122054E11,7.087566770886287E11,9.074915231741157E11,1.0690556752737479E12,1.1537158227175093E12,1.260398977831763E12,1.4740025798200046E12,1.6318634935523433E12,1.4914729237066396E12,1.4221081997833362E12,1.4807104957101196E12,1.3247507387250002E12,1.3555795359125527E12,1.3718205378886226E12,1.1961569712796868E12,1.2335549670116763E12,1.3132453301976494E12,1.421702715218038E12,1.3943200551294094E12,1.27812886787549E12,1.445651653604628E12,1.4178004662626514E12,1.580694712515714E12
