Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,NLD,"School enrollment, tertiary (% gross)",52.9789810180664,54.2512283325195,54.9959297180176,56.7709884643555,58.7895011901855,59.8265113830566,60.3940391540527,61.0170593261719,61.4280090332031,63.7049789428711,75.518798828125,75.8141632080078,,,80.1601486206055,79.8454895019531,83.2009887695312,83.652473449707,,85.1104507446289,88.9542617797852,,
Spain,ESP,"School enrollment, tertiary (% gross)",61.0042190551758,63.7400817871094,65.5322113037109,67.4735717773438,68.1358337402344,68.9646224975586,69.2297668457031,69.4019393920898,71.4311676025391,76.3829116821289,80.7240905761719,82.89208984375,85.2132568359375,88.0015563964844,88.5742492675781,89.8067779541016,91.8877410888672,92.1748886108398,91.020263671875,90.9548492431641,94.5903778076172,,
Sweden,SWE,"School enrollment, tertiary (% gross)",70.0115203857422,74.7414321899414,80.4902877807617,83.0349807739258,81.7390899658203,79.3352279663086,75.3943710327148,71.158073425293,71.0115814208984,73.0818328857422,71.9184112548828,68.742301940918,65.7820892333984,64.9541931152344,66.4283218383789,68.306037902832,70.4342498779297,73.4083786010742,75.1148529052734,79.1196365356445,85.9426193237305,83.8976135253906,
Switzerland,CHE,"School enrollment, tertiary (% gross)",39.2238006591797,39.9602890014648,43.0505409240723,44.8805198669434,45.2465286254883,46.2847785949707,47.8155517578125,49.6888809204102,50.3034515380859,52.8040618896484,53.1352806091309,54.835620880127,56.1812400817871,58.0650596618652,60.8185615539551,61.1939888000488,62.4597206115723,64.3533935546875,66.3093414306641,68.0676422119141,71.893928527832,74.1526794433594,
United Kingdom,GBR,"School enrollment, tertiary (% gross)",57.4927787780762,61.1349906921387,61.4617309570312,59.4577484130859,59.2842216491699,59.199031829834,58.8509902954102,57.432788848877,59.1040382385254,59.8535804748535,59.3462715148926,59.2382011413574,57.077220916748,56.9918899536133,56.9323501586914,58.5959014892578,60.1500511169434,61.6712989807129,65.9645614624023,69.986572265625,77.0131607055664,82.6516494750977,
United States,USA,"School enrollment, tertiary (% gross)",,,,,80.6348266601562,,,,,,,,88.7264175415039,88.6268692016602,88.8894119262695,88.8350524902344,88.1673889160156,88.2991790771484,87.8887100219727,87.5676574707031,84.8550872802734,79.361930847168,
