Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,DZA,"Government expenditure on education, total (% of GDP)",,,,,,,,4.33701992034912,,,,7.63800001144409,7.29199981689453,7.31899976730347,7.96299982070923,7.3439998626709,6.40199995040894,6.32499980926514,6.03700017929077,7.04199981689453,6.29899978637695,,
France,FRA,"Government expenditure on education, total (% of GDP)",,,,,5.51722764968872,5.47531032562256,5.30000019073486,5.3899998664856,5.67000007629395,5.6399998664856,5.48000001907349,5.48999977111816,5.48999977111816,5.48999977111816,5.44999980926514,5.40999984741211,5.45160007476807,5.40716981887817,5.35443019866943,5.67784023284912,5.23999977111816,,
Italy,ITA,"Government expenditure on education, total (% of GDP)",4.65009021759033,4.43240976333618,4.54179000854492,4.38520002365112,4.23829984664917,4.52545022964478,4.10503005981445,4.38794994354248,4.52371978759766,4.33411979675293,4.11568021774292,4.05601978302002,4.14367008209229,4.06127977371216,4.07362985610962,3.81578993797302,4.04493999481201,4.25614023208618,4.09527015686035,4.44194984436035,4.01999998092651,,
Morocco,MAR,"Government expenditure on education, total (% of GDP)",,,,,,,,4.85339021682739,4.83119010925293,,,5.55299997329712,,5.48299980163574,5.13299989700317,5.08500003814697,4.73600006103516,4.96000003814697,5.00299978256226,6.28499984741211,5.60099983215332,5.76800012588501,
Portugal,PRT,"Government expenditure on education, total (% of GDP)",5.33713006973267,5.25871992111206,5.28152990341187,5.04638004302979,5.07394981384277,4.90767002105713,4.92147016525269,4.69609022140503,5.56314992904663,5.41248989105225,5.12333011627197,4.94940996170044,5.2709698677063,5.12400007247925,4.88554000854492,4.76999998092651,5.0156102180481,4.67515993118286,4.63002014160156,4.87656021118164,4.6100001335144,,
Spain,ESP,"Government expenditure on education, total (% of GDP)",4.1112699508667,4.13457012176514,4.1734299659729,4.15785980224609,4.14432001113892,4.1848201751709,4.25404977798462,4.52805995941162,4.91200017929077,4.85608005523682,4.7408299446106,4.48113012313843,4.34961986541748,4.30150985717773,4.28457021713257,4.22544002532959,4.20552015304565,4.1794900894165,4.23021984100342,4.89986991882324,4.55000019073486,,
